investor_id,portfolio_turnover,avg_holding_period_days,volatility_exposure,diversification_score,sector_concentration,num_holdings,cash_allocation_pct,international_exposure_pct
1,0.8748357076505616,29,0.9323844269050346,0.3761514928204013,0.7882923312638332,7,0.12896064077536956,0.23837173645764545
2,0.8265262807032524,31,0.8768291153593769,0.27671351232148717,0.8120981135783018,2,0.0,0.17188562353795137
3,0.7993584439832788,30,0.8545987962239394,0.22938481493323543,0.8732824384460778,7,0.053376410234396196,0.12876259068932716
4,0.8227808637737408,30,0.8424503211288848,0.31878490091728356,0.7699680655040598,7,0.019914669388530155,0.2926139092254469
5,0.8493251387631032,26,0.9411272456051595,0.23895781750144887,0.8104431797502378,2,0.0,0.2098430617934562
6,0.8869233289997704,30,0.894217585880588,0.28494481522053555,0.7260739004816287,5,0.026968061452010625,0.2528561113109458
7,0.867180914478423,24,0.9162041984697398,0.28074588597918415,0.7661538999847021,9,0.10154997612479755,0.24656400595580993
8,0.808039123838868,29,0.9165631715701782,0.34877725635611795,0.7760412881077355,7,0.0,0.14018966879596648
9,0.8906262911197099,34,0.8963994939209833,0.3501766448946012,0.8180818012523817,6,0.0680697802754207,0.27690182832329846
10,0.8482086980445024,34,0.7690127447955128,0.3410951252187612,0.8043523534119086,7,0.05458803882677512,0.10062155426995537
11,0.0890164056081244,393,0.2738947022370758,0.8240864890863177,0.15957531985534062,28,0.2257701058851037,0.4664375554829842
12,0.07351198981164807,399,0.20485387746740202,0.8984322495266445,0.1648973453061324,29,0.1603945923433921,0.3768242525933941
13,0.1148060138532288,389,0.20025567283212306,0.8382706433312427,0.12923146289747928,28,0.1628642741736615,0.40988613653891903
14,0.09193571441669955,395,0.2943092950605265,0.858728890641592,0.21287751953613823,29,0.08406143923504791,0.4486743062275392
15,0.10301151049705133,473,0.19038195176094388,0.8650773671166806,0.19826441151473784,26,0.23714114072575102,0.48759665163433874
16,0.13955159735215236,345,0.270139715546805,0.7799074468603859,0.22934285469001353,36,0.13047318374346556,0.42168511351986143
17,0.10498256825438207,360,0.12246682844669338,0.8534281487403014,0.14688481431369477,31,0.13402878828830983,0.527496720250877
18,0.06083733538318815,367,0.2406758608684835,0.7884567841783022,0.21137299673020649,33,0.0996258382719386,0.4592316929266152
19,0.11299413971242118,409,0.1381524644560959,0.7839771693457862,0.2260970782808449,30,0.19252464251729381,0.4673224104748488
20,0.06599876392107545,388,0.21465362366493407,0.8142824290986815,0.29328872555723784,31,0.12043482513986756,0.4828276804316915
21,0.4512659164886339,194,0.5579297789503702,0.5589658840824144,0.5481688064622161,21,0.1411030079997245,0.39483964913269737
22,0.4877305941998565,166,0.45552427851872385,0.559209485751728,0.49614491452929477,21,0.11383453996650096,0.3413591624518012
23,0.5006500945938953,206,0.4867671583381022,0.7360084583294809,0.5312833673882503,17,0.04645537509694439,0.3241236207621593
24,0.48882686073370746,192,0.5236618812286773,0.5963585543671563,0.45766031409657976,15,0.07767425239664895,0.34281993971617364
25,0.5107046872065102,157,0.5086590462925591,0.6192658689864419,0.45580712818994334,20,0.1029104359223,0.24285148510846882
